"midsPop=11" "midsPop=12" "midsPop=14" "midsPop=16" "midsPop=17" "midsPop=19" "midsPop=21" "midsPop=23" "midsPop=25" "midsPop=28" "midsPop=30" "midsPop=33" "midsPop=36" "midsPop=39" "midsPop=42" "midsPop=46" "midsPop=49" "midsPop=53" "midsPop=57" "midsPop=61" "midsPop=65" "midsPop=69" "midsPop=74" "midsPop=78" "midsPop=84" "midsPop=90" "midsPop=96" "midsPop=104" "midsPop=112" "midsPop=120" "midsPop=128" "midsPop=137" "midsPop=146" "midsPop=156" "midsPop=165" "midsPop=176" "midsPop=187" "midsPop=200" "midsPop=214" "midsPop=228" "midsPop=242" "midsPop=255" "midsPop=270" "midsPop=286" "midsPop=302" "midsPop=320" "midsPop=336" "midsPop=354" "midsPop=371" "midsPop=386" "midsPop=400" "midsPop=414" "midsPop=431" "midsPop=448" "midsPop=464" "midsPop=480" "midsPop=496" "midsPop=513" "midsPop=529" "midsPop=546" "midsPop=563" "midsPop=580" "midsPop=597" "midsPop=613" "midsPop=629" "midsPop=645" "midsPop=662" "midsPop=679" "midsPop=696" "midsPop=716" "midsPop=734" "midsPop=751" "midsPop=769" "midsPop=788" "midsPop=808" "midsPop=828" "midsPop=846" "midsPop=865" "midsPop=884" "midsPop=906" "midsPop=930" "midsPop=953" "midsPop=976" "midsPop=1004" "midsPop=1034" "midsPop=1064" "midsPop=1097" "midsPop=1137" "midsPop=1180" "midsPop=1227" "midsPop=1285" "midsPop=1348" "midsPop=1422" "midsPop=1512" "midsPop=1622" "midsPop=1771" "midsPop=1957" "midsPop=2227" "midsPop=2696" "midsPop=5787"
"month=46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0123456790123457 0 0 0 0 0.0247933884297521 0.01 0 0 0 0 0.00970873786407767 0 0.00943396226415094 0 0 0.00961538461538462 0 0 0 0.00925925925925926 0 0 0.00884955752212389 0.00892857142857143 0 0.018018018018018 0.019047619047619 0.0176991150442478 0.0186915887850467 0.0087719298245614 0.00909090909090909 0.018348623853211 0.00869565217391304 0.0188679245283019 0.0186915887850467 0 0.018348623853211 0.00925925925925926 0.0176991150442478 0.0185185185185185 0.0173913043478261 0.0594059405940594 0.018348623853211 0.0185185185185185 0.00900900900900901 0.0176991150442478 0.00961538461538462 0 0.0260869565217391 0.00980392156862745 0.0265486725663717 0.0185185185185185 0.0388349514563107 0.027027027027027 0.0186915887850467 0.0277777777777778 0.0087719298245614 0.0571428571428571 0.00900900900900901 0.00952380952380952 0.019047619047619 0.018348623853211 0.0280373831775701 0.0181818181818182 0.0185185185185185 0.029126213592233 0.0545454545454545 0.00961538461538462 0.036036036036036 0.0480769230769231 0.0384615384615385 0.036036036036036 0.0285714285714286 0.0194174757281553 0.0467289719626168 0.00943396226415094 0.0353982300884956 0.0283018867924528 0.0740740740740741 0 0.0280373831775701 0.0384615384615385 0.0196078431372549 0.01
"month=47" 0 0 0 0 0 0 0.00980392156862745 0 0.00980392156862745 0 0 0 0 0 0.00684931506849315 0.0125 0 0 0 0 0 0.0101010101010101 0 0 0 0.00900900900900901 0.00970873786407767 0 0 0 0.00840336134453781 0.00952380952380952 0 0 0 0 0 0 0 0.0178571428571429 0.00909090909090909 0.00892857142857143 0.0192307692307692 0.00869565217391304 0.00934579439252336 0.0087719298245614 0.027027027027027 0.0277777777777778 0 0.00917431192660551 0.036697247706422 0.00900900900900901 0.0175438596491228 0.0185185185185185 0 0.00925925925925926 0.0256410256410256 0 0.0267857142857143 0.0353982300884956 0.00884955752212389 0.0087719298245614 0.0275229357798165 0.0380952380952381 0.0263157894736842 0.0480769230769231 0.0175438596491228 0.00917431192660551 0.019047619047619 0.0176991150442478 0.0467289719626168 0.0471698113207547 0.0434782608695652 0.0891089108910891 0.0431034482758621 0.0280373831775701 0.0458715596330275 0.0258620689655172 0.0285714285714286 0.0458715596330275 0.0535714285714286 0.019047619047619 0.0925925925925926 0.0272727272727273 0.018018018018018 0.0285714285714286 0.0188679245283019 0.0454545454545455 0.0467289719626168 0.0754716981132075 0.0761904761904762 0.00909090909090909 0.0357142857142857 0.037037037037037 0.03 0.0625 0.0467289719626168 0.0467289719626168 0.0186915887850467 0.118181818181818
"month=48" 0 0 0 0 0 0 0 0 0 0 0 0 0.00675675675675676 0 0 0 0 0 0 0 0.00819672131147541 0 0 0 0.0099009900990099 0 0 0 0.0185185185185185 0.00909090909090909 0.00847457627118644 0 0.00826446280991736 0.00900900900900901 0.00909090909090909 0.00909090909090909 0.0168067226890756 0 0 0 0.00917431192660551 0.0176991150442478 0.0285714285714286 0.00862068965517241 0.00925925925925926 0 0.018348623853211 0.0186915887850467 0 0 0.0280373831775701 0.0545454545454545 0.0350877192982456 0 0.0256410256410256 0 0.0258620689655172 0.0194174757281553 0.027027027027027 0.036036036036036 0.0442477876106195 0.0260869565217391 0.0467289719626168 0 0.0176991150442478 0.0594059405940594 0.0087719298245614 0.00917431192660551 0.0185185185185185 0.0087719298245614 0.0576923076923077 0.0288461538461538 0.0265486725663717 0.0204081632653061 0.0267857142857143 0.019047619047619 0.0566037735849057 0.0172413793103448 0.0571428571428571 0.0849056603773585 0.0648148148148148 0.0188679245283019 0.0388349514563107 0.0280373831775701 0.0535714285714286 0.0283018867924528 0.0636363636363636 0.055045871559633 0.00952380952380952 0.0882352941176471 0.00961538461538462 0.0625 0.0535714285714286 0.0747663551401869 0.0761904761904762 0.0666666666666667 0.0566037735849057 0.0476190476190476 0.0186915887850467 0.122448979591837
"month=49" 0 0 0 0 0.00793650793650794 0 0 0 0 0 0 0 0 0 0.00684931506849315 0 0 0 0 0 0 0 0 0.0078125 0.02 0 0.00961538461538462 0.00840336134453781 0.00943396226415094 0 0.00847457627118644 0.0188679245283019 0 0.00909090909090909 0 0.00917431192660551 0.0256410256410256 0.00952380952380952 0.0087719298245614 0 0.00917431192660551 0.0267857142857143 0.00961538461538462 0.0172413793103448 0.0186915887850467 0.0350877192982456 0.0181818181818182 0.037037037037037 0.00854700854700855 0.027027027027027 0.037037037037037 0.0285714285714286 0.0178571428571429 0.00917431192660551 0.0087719298245614 0.0454545454545455 0.0431034482758621 0.0099009900990099 0.00900900900900901 0.0181818181818182 0.018348623853211 0.0265486725663717 0.0192307692307692 0.0285714285714286 0.043859649122807 0.0297029702970297 0.0434782608695652 0.0458715596330275 0.037037037037037 0.0521739130434783 0.029126213592233 0.0384615384615385 0.0260869565217391 0.0388349514563107 0.0434782608695652 0.0571428571428571 0.0384615384615385 0.0512820512820513 0.0392156862745098 0.0891089108910891 0.0283018867924528 0.0660377358490566 0.036697247706422 0.037037037037037 0.0648148148148148 0.0952380952380952 0.113207547169811 0.0642201834862385 0.073394495412844 0.07 0.118181818181818 0.171428571428571 0.0917431192660551 0.116504854368932 0.118811881188119 0.07 0.116504854368932 0.171428571428571 0.12962962962963 0.141414141414141
"month=50" 0 0 0 0 0.008 0 0 0 0.00980392156862745 0 0 0 0 0 0 0 0 0 0 0 0.00819672131147541 0 0 0.0078740157480315 0.0101010101010101 0 0.0194174757281553 0.00847457627118644 0.00934579439252336 0.0181818181818182 0.00847457627118644 0 0 0 0.00900900900900901 0.018348623853211 0.00862068965517241 0 0 0.00892857142857143 0.00917431192660551 0.00900900900900901 0.0380952380952381 0.00869565217391304 0.0186915887850467 0.00909090909090909 0.00917431192660551 0.0377358490566038 0.00862068965517241 0.037037037037037 0.0188679245283019 0.0186915887850467 0.0175438596491228 0.00925925925925926 0.0172413793103448 0.0476190476190476 0.0175438596491228 0.00980392156862745 0.0178571428571429 0.0707964601769911 0.0357142857142857 0.0265486725663717 0.0283018867924528 0.0194174757281553 0.0178571428571429 0.0192307692307692 0.0530973451327434 0 0.0377358490566038 0.0363636363636364 0.0283018867924528 0.058252427184466 0.0775862068965517 0.0392156862745098 0.0357142857142857 0.0198019801980198 0.0280373831775701 0.0353982300884956 0.0673076923076923 0.0297029702970297 0.0363636363636364 0.0396039603960396 0.073394495412844 0.00934579439252336 0.0462962962962963 0.0606060606060606 0.02 0.0280373831775701 0.0490196078431373 0.0206185567010309 0.0918367346938776 0.0531914893617021 0.0480769230769231 0.0520833333333333 0.0510204081632653 0.05 0.09375 0.0978260869565217 0.125 0.145833333333333
"month=51" 0 0 0 0 0 0.00943396226415094 0 0 0 0.00714285714285714 0.00840336134453781 0 0 0 0 0 0.00819672131147541 0.00819672131147541 0 0.00961538461538462 0.00826446280991736 0 0.00900900900900901 0.0078740157480315 0 0.00900900900900901 0 0 0.0186915887850467 0 0 0 0.00826446280991736 0.00900900900900901 0.00909090909090909 0.00925925925925926 0 0.0285714285714286 0.0087719298245614 0.00892857142857143 0.00917431192660551 0.0176991150442478 0.0194174757281553 0.00862068965517241 0.0467289719626168 0.0087719298245614 0.036036036036036 0.00943396226415094 0.00862068965517241 0 0.036697247706422 0.00925925925925926 0.0263157894736842 0 0.00869565217391304 0.00961538461538462 0.0341880341880342 0.0294117647058824 0.018018018018018 0.0377358490566038 0.0181818181818182 0.0267857142857143 0.0186915887850467 0.0384615384615385 0.0260869565217391 0.0283018867924528 0.0540540540540541 0.0272727272727273 0.00934579439252336 0.0267857142857143 0.0188679245283019 0.0588235294117647 0.0181818181818182 0.029126213592233 0.0176991150442478 0.019047619047619 0.00925925925925926 0.0263157894736842 0.02 0.037037037037037 0.0272727272727273 0.0485436893203883 0.0576923076923077 0.0458715596330275 0.0363636363636364 0.0388349514563107 0.0654205607476635 0.0625 0.0388349514563107 0.0285714285714286 0.0396039603960396 0.029126213592233 0.0555555555555556 0.0384615384615385 0.0857142857142857 0.0384615384615385 0.0404040404040404 0.0408163265306122 0.112244897959184 0.0319148936170213
"month=52" 0 0 0.00704225352112676 0 0 0 0.00980392156862745 0 0 0.00719424460431655 0.00847457627118644 0 0 0 0.0136986301369863 0 0.00826446280991736 0 0 0 0.0165289256198347 0 0 0.0078740157480315 0 0.00909090909090909 0 0 0.00943396226415094 0.00909090909090909 0.0168067226890756 0 0 0.00909090909090909 0 0.00917431192660551 0.00840336134453781 0.00980392156862745 0.0176991150442478 0 0.00917431192660551 0.00892857142857143 0.019047619047619 0 0 0.0350877192982456 0.00925925925925926 0 0.0172413793103448 0.00900900900900901 0.0186915887850467 0.0275229357798165 0 0.00917431192660551 0.00862068965517241 0.037037037037037 0.0173913043478261 0.01 0 0.00909090909090909 0.0178571428571429 0.0267857142857143 0.0185185185185185 0.00980392156862745 0.0176991150442478 0.019047619047619 0.018018018018018 0.0186915887850467 0.027027027027027 0.0176991150442478 0.0280373831775701 0.00980392156862745 0.0512820512820513 0.0288461538461538 0.0517241379310345 0.0283018867924528 0.036697247706422 0.0260869565217391 0.0285714285714286 0.0471698113207547 0.0630630630630631 0.0392156862745098 0.0471698113207547 0.0377358490566038 0.018018018018018 0.0188679245283019 0.0192307692307692 0.037037037037037 0.0571428571428571 0.0373831775700935 0.0761904761904762 0.0833333333333333 0.0471698113207547 0.0480769230769231 0.0294117647058824 0.0666666666666667 0.0283018867924528 0.05 0.0505050505050505 0.0679611650485437
"month=53" 0.00558659217877095 0 0 0 0 0 0 0 0.00980392156862745 0.00719424460431655 0 0.0128205128205128 0.00675675675675676 0 0 0.0123456790123457 0 0 0 0.0192307692307692 0.00833333333333333 0.01 0 0 0.01 0 0.00961538461538462 0.00840336134453781 0 0 0 0.0188679245283019 0.00826446280991736 0.0181818181818182 0 0.00917431192660551 0.00847457627118644 0.0192307692307692 0.00892857142857143 0.0265486725663717 0 0.00884955752212389 0.00952380952380952 0.0258620689655172 0.018348623853211 0.00900900900900901 0.027027027027027 0.0363636363636364 0 0.0181818181818182 0.0275229357798165 0.037037037037037 0.0172413793103448 0.00925925925925926 0.00862068965517241 0.0377358490566038 0.0427350427350427 0.00980392156862745 0.0263157894736842 0.0263157894736842 0.0178571428571429 0.0178571428571429 0.037037037037037 0.0476190476190476 0.0263157894736842 0.019047619047619 0 0.036697247706422 0.0458715596330275 0.0350877192982456 0.0377358490566038 0.037037037037037 0.0265486725663717 0.0384615384615385 0.018018018018018 0.0288461538461538 0.0186915887850467 0.0260869565217391 0.0192307692307692 0.0476190476190476 0.0373831775700935 0.019047619047619 0.0186915887850467 0.0280373831775701 0.0707964601769911 0.0185185185185185 0.0909090909090909 0.0181818181818182 0.0294117647058824 0.0471698113207547 0.0480769230769231 0.0485436893203883 0.037037037037037 0.0380952380952381 0.0865384615384615 0.0388349514563107 0.0373831775700935 0.0571428571428571 0.0673076923076923 0.0882352941176471
"month=54" 0 0 0 0 0 0 0 0 0 0 0.00840336134453781 0 0 0 0 0.0125 0 0.00819672131147541 0.00900900900900901 0 0 0.0101010101010101 0.00909090909090909 0 0 0 0 0.00847457627118644 0.00925925925925926 0.00909090909090909 0 0 0.00833333333333333 0.00917431192660551 0 0 0 0.0194174757281553 0 0.0181818181818182 0 0 0.00943396226415094 0.0087719298245614 0 0.0263157894736842 0.00917431192660551 0.00943396226415094 0 0.0275229357798165 0.00925925925925926 0 0 0 0.00862068965517241 0.0283018867924528 0.0087719298245614 0 0.027027027027027 0.00892857142857143 0 0 0.0188679245283019 0.0198019801980198 0 0.00943396226415094 0.0254237288135593 0.0186915887850467 0.00943396226415094 0.00900900900900901 0.0476190476190476 0.00952380952380952 0 0.00980392156862745 0.0347826086956522 0.00970873786407767 0.018348623853211 0.0260869565217391 0 0.0380952380952381 0.0181818181818182 0.0280373831775701 0.0267857142857143 0.00925925925925926 0.0186915887850467 0.037037037037037 0.0194174757281553 0.036036036036036 0.0373831775700935 0.0476190476190476 0.0285714285714286 0.00934579439252336 0.036036036036036 0.019047619047619 0.0309278350515464 0.0188679245283019 0.0186915887850467 0.0380952380952381 0.107843137254902 0.108910891089109
"month=55" 0 0 0 0 0.00793650793650794 0 0 0 0 0 0.00847457627118644 0 0.00675675675675676 0.025974025974026 0 0 0 0.00826446280991736 0 0 0 0.0101010101010101 0 0.0078125 0 0 0 0 0 0.00917431192660551 0 0.00943396226415094 0.00833333333333333 0 0.00900900900900901 0 0 0 0.0175438596491228 0 0.00909090909090909 0.0176991150442478 0 0.00862068965517241 0.0185185185185185 0 0.018018018018018 0 0.0256410256410256 0.0185185185185185 0.00909090909090909 0 0.00862068965517241 0.00917431192660551 0.0172413793103448 0.00934579439252336 0 0.0194174757281553 0.018018018018018 0.0175438596491228 0.0178571428571429 0.0172413793103448 0 0.0384615384615385 0 0.00934579439252336 0.0173913043478261 0.00917431192660551 0.0181818181818182 0.00869565217391304 0 0 0 0 0.0176991150442478 0 0 0.0517241379310345 0.0277777777777778 0.0188679245283019 0.0178571428571429 0.00961538461538462 0.00900900900900901 0 0.0178571428571429 0.0283018867924528 0.0272727272727273 0.0181818181818182 0.0280373831775701 0 0.0186915887850467 0.027027027027027 0 0.019047619047619 0.00961538461538462 0.0186915887850467 0.073394495412844 0.00925925925925926 0.0606060606060606 0.04
"month=56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00684931506849315 0 0 0 0.00900900900900901 0 0 0 0 0.0078740157480315 0 0.00900900900900901 0 0 0 0 0 0 0.0166666666666667 0.00900900900900901 0 0 0.00840336134453781 0 0.00892857142857143 0.0353982300884956 0.00917431192660551 0.00892857142857143 0.00934579439252336 0.00862068965517241 0.00934579439252336 0.0347826086956522 0 0.0181818181818182 0.0263157894736842 0 0.0272727272727273 0.00900900900900901 0.00869565217391304 0 0.00869565217391304 0.0275229357798165 0.00847457627118644 0.0099009900990099 0 0.0176991150442478 0.00892857142857143 0.0087719298245614 0 0.0196078431372549 0.0256410256410256 0.00934579439252336 0.0258620689655172 0.00909090909090909 0.00909090909090909 0 0.00917431192660551 0.00917431192660551 0.00840336134453781 0.00943396226415094 0.00862068965517241 0.0277777777777778 0.027027027027027 0.0178571428571429 0.00952380952380952 0.0275229357798165 0.00892857142857143 0.0188679245283019 0.0265486725663717 0.018018018018018 0.0176991150442478 0.0186915887850467 0.018348623853211 0.0265486725663717 0.0277777777777778 0.0277777777777778 0.037037037037037 0.00917431192660551 0.0258620689655172 0.0185185185185185 0.0277777777777778 0.0275229357798165 0.0485436893203883 0.0357142857142857 0.0392156862745098 0.0462962962962963
"month=57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00819672131147541 0 0 0.0078740157480315 0 0 0 0.0168067226890756 0.00925925925925926 0 0.00840336134453781 0 0.00840336134453781 0 0 0.00909090909090909 0 0 0 0 0.018348623853211 0 0.00943396226415094 0.00862068965517241 0.00925925925925926 0 0.00900900900900901 0 0.0087719298245614 0 0.00925925925925926 0 0.00869565217391304 0 0.0172413793103448 0 0 0 0.0526315789473684 0 0.0265486725663717 0 0.00909090909090909 0.0192307692307692 0.0087719298245614 0.00934579439252336 0.00869565217391304 0.00909090909090909 0.027027027027027 0.00862068965517241 0.00925925925925926 0.037037037037037 0.0254237288135593 0.0285714285714286 0.0427350427350427 0.019047619047619 0.0277777777777778 0.00854700854700855 0.00943396226415094 0.037037037037037 0.0446428571428571 0.0188679245283019 0.036036036036036 0.018348623853211 0.0176991150442478 0.0185185185185185 0.036036036036036 0.0446428571428571 0.0277777777777778 0.0283018867924528 0.0280373831775701 0.0178571428571429 0.0442477876106195 0.018348623853211 0.00934579439252336 0 0.0380952380952381 0.055045871559633 0.0476190476190476 0.0654205607476635
"month=58" 0 0 0 0 0.00793650793650794 0 0 0 0 0.00714285714285714 0.0168067226890756 0 0.00675675675675676 0 0 0 0 0 0.00900900900900901 0 0 0.01 0.00900900900900901 0.0078740157480315 0 0.00900900900900901 0.0384615384615385 0.0170940170940171 0.0186915887850467 0.00909090909090909 0 0.0188679245283019 0 0.00900900900900901 0 0 0 0.00952380952380952 0.0087719298245614 0.00892857142857143 0.00925925925925926 0 0 0.0172413793103448 0.0185185185185185 0.0263157894736842 0 0.0181818181818182 0.00862068965517241 0.00900900900900901 0.0275229357798165 0 0.0260869565217391 0.0275229357798165 0.00869565217391304 0.0181818181818182 0.0169491525423729 0.0194174757281553 0.00925925925925926 0.0263157894736842 0 0.0431034482758621 0.00917431192660551 0.0192307692307692 0.0431034482758621 0.0280373831775701 0.0256410256410256 0.036697247706422 0.018348623853211 0.0347826086956522 0.0185185185185185 0.0571428571428571 0.0172413793103448 0.00961538461538462 0.00884955752212389 0 0.0185185185185185 0.0338983050847458 0.0471698113207547 0.0373831775700935 0.00925925925925926 0.0283018867924528 0.0363636363636364 0.036697247706422 0.0265486725663717 0.0277777777777778 0.018348623853211 0.0642201834862385 0.0560747663551402 0.0188679245283019 0.0648148148148148 0.036036036036036 0.036036036036036 0.055045871559633 0.073394495412844 0.036036036036036 0.0555555555555556 0.0857142857142857 0.0476190476190476 0.0566037735849057
"month=59" 0.00558659217877095 0 0 0 0 0 0 0 0 0 0 0 0.00680272108843537 0 0 0 0 0.00819672131147541 0 0 0 0.0101010101010101 0 0 0.0099009900990099 0.0181818181818182 0 0 0.00943396226415094 0 0 0 0.00826446280991736 0 0 0 0 0 0 0 0 0.0175438596491228 0.00934579439252336 0.0173913043478261 0.00934579439252336 0.018018018018018 0 0.0185185185185185 0.00862068965517241 0 0 0 0.0265486725663717 0.00943396226415094 0.0172413793103448 0.00925925925925926 0.0170940170940171 0 0.00884955752212389 0.0267857142857143 0 0.018018018018018 0.00917431192660551 0.0194174757281553 0.0267857142857143 0 0.00869565217391304 0.0283018867924528 0.0181818181818182 0.00892857142857143 0.00934579439252336 0 0.00854700854700855 0.0188679245283019 0 0.0185185185185185 0 0.0173913043478261 0.0194174757281553 0.00934579439252336 0.0178571428571429 0.0188679245283019 0 0.00934579439252336 0.00892857142857143 0.00934579439252336 0.036036036036036 0.0185185185185185 0.0480769230769231 0.0186915887850467 0.0192307692307692 0.0458715596330275 0.027027027027027 0.0192307692307692 0.00980392156862745 0.0186915887850467 0.0384615384615385 0.0196078431372549 0.0485436893203883 0.102803738317757
"month=60" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
